Block,Method,exp_ids,N,Seeds,Mean Eval Loss,Std Eval Loss,95% CI Eval,Mean Train Loss,Std Train Loss,95% CI Train,Mean Gap,Std Gap,Mean Phase2 ΔEval,Std Phase2 ΔEval
1k_short,Random,exp_012_random_only_multiseed,3,"13,21,42",9.616399129231771,0.00012846433173675242,0.0001453710763585796,38.770100063747826,0.04024056274120472,0.04553648347271408,-29.153700934516056,0.0401746926852832,-0.0013834635416666667,4.788673415540199e-05
1k_short,Grouped,exp_013_grouped_only_multiseed,3,"13,21,42",9.61652692159017,0.00021044965469782815,0.00023814620298968355,38.722209506564674,0.0837623097954453,0.09478597653235654,-29.105682584974502,0.08355971246009895,-0.0013230641682942708,8.784853845934995e-05
1k_short,Grouped→Random,exp_014_grouped_to_random_multiseed,3,"13,21,42",9.616591453552246,1.2615925364802315e-05,1.4276263494671894e-05,38.77133009168837,0.04001225310629127,0.04527812679952938,-29.15473863813612,0.039999846765461956,-0.001311937967936198,1.7593503445970804e-05
1k_short,Random→Grouped,exp_015_random_to_grouped_multiseed,3,"13,21,42",9.616386731465658,9.03947098320946e-05,0.00010229124370756074,38.722546895345054,0.08318304486583673,0.09413047655679498,-29.106160163879395,0.08322542054459718,-0.0013634363810221355,4.1011691850967755e-05
1k_long,Random,exp_018_random_only_multiseed_long,3,"13,21,42",9.611108779907227,0.00018671569539907427,0.00021128869972114408,38.760330539279515,0.03110438304121462,0.035197922886772086,-29.149221759372285,0.03116483831943454,-0.004041353861490886,0.00010132911157814017
1k_long,Grouped,exp_019_grouped_only_multiseed_long,3,"13,21,42",9.611552556355795,0.00010812468756713155,0.00012235460224693806,38.722173394097226,0.03900611663088796,0.0441395761962948,-29.11062083774143,0.03901942147220277,-0.0038159688313802085,5.832506621969102e-05
1k_long,Grouped→Random,exp_020_grouped_to_random_multiseed_long,3,"13,21,42",9.611759503682455,0.00021096115141597821,0.0002387250160147941,38.76272142198351,0.03064208124191672,0.03467477915295996,-29.150961918301054,0.030848937650293007,-0.0037781397501627603,0.00011281742782704696
1k_long,Random→Grouped,exp_021_random_to_grouped_multiseed_long,3,"13,21,42",9.611469268798828,0.0002447879672933447,0.00027700366166994003,38.722423977322045,0.03845785598960637,0.04351916087578799,-29.11095470852322,0.038652684497624726,-0.003803253173828125,0.00012401066854218006
3k_long,Random,exp_022_random_only_multiseed_3k,3,"13,21,42",11.423059145609537,0.0022963785111432176,0.0025985969130768254,45.43341644050539,0.01382795693712296,0.01564780633358137,-34.010357294895854,0.015029188779688585,-0.03380934397379557,0.0013143114182638162
3k_long,Grouped,exp_023_grouped_only_multiseed_3k,3,"13,21,42",11.425052642822266,0.0006824924120630219,0.0007723128685359469,45.453193368837816,0.02861197548084322,0.03237749822198714,-34.02814072601555,0.028645416986413597,-0.032903035481770836,0.0002804537652963946
3k_long,Grouped→Random,exp_024_grouped_to_random_multiseed_3k,3,"13,21,42",11.424866358439127,0.001265824868793103,0.0014324156843394567,45.442404103833574,0.02309180402878956,0.026130836173307647,-34.01753774539445,0.021888793166452963,-0.03327242533365885,0.0007560714903866812
3k_long,Random→Grouped,exp_025_random_to_grouped_multiseed_3k,3,"13,21,42",11.425841649373373,0.000684287960140967,0.0007743447224615901,45.455506317375246,0.02827311704757791,0.03199404380696785,-34.02966466800187,0.028884988379609327,-0.032347679138183594,0.00046023160537994243
5k_long,Random,exp_026_random_only_multiseed_5k,3,"13,21,42",11.341803868611654,0.004030287838901957,0.0045607000266553715,45.12238576826355,0.02028236906639142,0.022951661230957477,-33.7805818996519,0.016340837714776808,-0.07824929555257161,0.0017021578054971422
5k_long,Grouped,exp_027_grouped_only_multiseed_5k,3,"13,21,42",11.346779187520346,0.0025083908611327086,0.0028385114722592228,45.171566063249614,0.043615139738180306,0.04935517683041983,-33.82478687572927,0.04111530315396452,-0.07535489400227864,0.0011277828172106868
5k_long,Grouped→Random,exp_028_grouped_to_random_multiseed_5k,3,"13,21,42",11.344831148783365,0.0009995714022504269,0.0011311215236005298,45.13616887840307,0.002091364594495343,0.0023666018267468566,-33.7913377296197,0.0030801204730393603,-0.07722759246826172,0.0003038002844653293
5k_long,Random→Grouped,exp_029_random_to_grouped_multiseed_5k,3,"13,21,42",11.343379974365234,0.002895475059662966,0.003276538478051392,45.15890305926543,0.02893003322131933,0.032737414437267326,-33.81552308490019,0.03114645332208369,-0.07583808898925781,0.001020517078270896
5k_curriculum_length,Easy→Hard Length,exp_030_easy_to_hard_length_multiseed_5k,3,"13,21,42",11.338643074035645,0.0012300206513966253,0.0013918993982175753,45.13238579118755,0.00303686559484304,0.0034365369306036705,-33.79374271715191,0.0018120965840877315,-0.0795135498046875,0.0006892156185110572
5k_curriculum_length,Hard→Easy Length,exp_031_hard_to_easy_length_multiseed_5k,3,"13,21,42",11.337978998819986,0.0009772446107854716,0.0011058563806381622,45.12975311279297,0.0026509642023911976,0.0029998483958907345,-33.791774113972984,0.0016850596126257614,-0.08008988698323567,0.00038835783700075536
5k_curriculum_length_longer,Hard→Easy Length,exp_032_hard_to_easy_length_longer_training_5k,3,"13,21,42",10.985996882120768,0.008129767881074827,0.009199698402191942,44.02101001784593,0.01970802735089725,0.02230173239662459,-33.03501313572516,0.011740251086361448,-0.2848030726114909,0.0054417704701258665
